oa-l1.21-school.ru (192.168.21.76) at 78:7b:8a:d6:dc:4e on en0 ifscope [ethernet]
oa-l3.21-school.ru (192.168.21.78) at 78:7b:8a:d6:db:82 on en0 ifscope [ethernet]
oa-l4.21-school.ru (192.168.21.79) at 78:7b:8a:d6:db:2a on en0 ifscope [ethernet]
oa-l6.21-school.ru (192.168.21.81) at 78:7b:8a:d6:87:5b on en0 ifscope [ethernet]
oa-m1.21-school.ru (192.168.21.82) at 78:7b:8a:d6:b9:ca on en0 ifscope [ethernet]
oa-m2.21-school.ru (192.168.21.83) at 78:7b:8a:d6:8e:f2 on en0 ifscope [ethernet]
oa-m3.21-school.ru (192.168.21.84) at 78:7b:8a:d6:8d:61 on en0 ifscope [ethernet]
oa-m4.21-school.ru (192.168.21.85) at 78:7b:8a:d6:b1:f3 on en0 ifscope [ethernet]
oa-m5.21-school.ru (192.168.21.86) at 78:7b:8a:d6:b6:c8 on en0 ifscope [ethernet]
oa-n3.21-school.ru (192.168.21.90) at 78:7b:8a:d6:fe:fd on en0 ifscope [ethernet]
oa-n6.21-school.ru (192.168.21.93) at 78:7b:8a:d5:8c:f9 on en0 ifscope [ethernet]
oa-o2.21-school.ru (192.168.21.95) at 78:7b:8a:d6:ba:48 on en0 ifscope [ethernet]
oa-o3.21-school.ru (192.168.21.96) at 78:7b:8a:d6:b9:c5 on en0 ifscope [ethernet]
at-a1.21-school.ru (192.168.22.11) at 78:7b:8a:d6:8e:4f on en0 ifscope [ethernet]
at-b1.21-school.ru (192.168.22.13) at 78:7b:8a:d6:b1:c5 on en0 ifscope [ethernet]
at-c3.21-school.ru (192.168.22.17) at 78:7b:8a:d6:fe:87 on en0 ifscope [ethernet]
at-d3.21-school.ru (192.168.22.20) at 78:7b:8a:d6:d1:ef on en0 ifscope [ethernet]
at-d5.21-school.ru (192.168.22.22) at 78:7b:8a:d6:b8:d0 on en0 ifscope [ethernet]
at-e1.21-school.ru (192.168.22.24) at 78:7b:8a:d6:b5:a0 on en0 ifscope [ethernet]
at-f5.21-school.ru (192.168.22.34) at 78:7b:8a:d6:8c:4b on en0 ifscope [ethernet]
at-h6.21-school.ru (192.168.22.47) at 78:7b:8a:d6:91:33 on en0 ifscope [ethernet]
at-i5.21-school.ru (192.168.22.52) at 78:7b:8a:d6:b7:9a on en0 ifscope [ethernet]
at-i6.21-school.ru (192.168.22.53) at 78:7b:8a:d6:b8:ea on en0 ifscope [ethernet]
at-i7.21-school.ru (192.168.22.54) at 78:7b:8a:cb:6c:1d on en0 ifscope [ethernet]
at-j2.21-school.ru (192.168.22.56) at 78:7b:8a:d5:8b:c7 on en0 ifscope [ethernet]
at-j3.21-school.ru (192.168.22.57) at 78:7b:8a:d6:b8:38 on en0 ifscope [ethernet]
at-k2.21-school.ru (192.168.22.62) at 78:7b:8a:cb:84:ad on en0 ifscope [ethernet]
